route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
1,1,Queen-River,3,80298f,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
2,2,Stirling,3,fcb94c,000000,https://www.grt.ca/en/schedules-maps/schedules.aspx
3,3,Ottawa South,3,f05a71,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
4,4,Glasgow,3,806950,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
5,5,Erb,3,008fd4,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
6,6,Bridge,3,2e3092,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
7,7,Mainline,3,ed1c24,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
8,8,University/Fairway,3,00a550,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
9,9,Lakeshore,3,f7931d,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
10,10,Pioneer,3,0071bb,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
11,11,Country Hills,3,135887,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
12,12,Westmount,3,ec008b,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
13,13,Laurelwood,3,ffca04,000000,https://www.grt.ca/en/schedules-maps/schedules.aspx
14,14,Waterloo Industrial,3,496e6d,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
16,16,Strasburg,3,86ac51,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
19,19,Hazel,3,00ff00,000000,https://www.grt.ca/en/schedules-maps/schedules.aspx
20,20,Victoria-Frederick,3,c7a0ca,000000,https://www.grt.ca/en/schedules-maps/schedules.aspx
21,21,Elmira,3,a6ce38,000000,https://www.grt.ca/en/schedules-maps/schedules.aspx
22,22,Laurentian West,3,756fb3,ffffff,https://www.grt.ca/en/schedules-maps/schedules.aspx
23,23,Idlewood,3,f6adcd,000000,https://www.grt.ca/en/schedules-maps/schedules.aspx
