service_id,date,exception_type
110-Weekday-1-19WINT-1111100,20190426,1
110-Weekday-1-19WINT-1111100,20190412,1
110-Weekday-1-19WINT-1111100,20190422,1
111-Weekday-1-19WINT-1111100,20190408,1
111-Weekday-1-19WINT-1111100,20190409,1
111-Weekday-1-19WINT-1111100,20190410,1
111-Weekday-1-19WINT-1111100,20190411,1
111-Weekday-1-19WINT-1111100,20190415,1
111-Weekday-1-19WINT-1111100,20190416,1
111-Weekday-1-19WINT-1111100,20190417,1
111-Weekday-1-19WINT-1111100,20190418,1
111-Weekday-1-19WINT-1111100,20190423,1
111-Weekday-1-19WINT-1111100,20190424,1
111-Weekday-1-19WINT-1111100,20190425,1
111-Weekday-1-19WINT-1111100,20190426,1
111-Weekday-1-19WINT-1111100,20190412,1
111-Weekday-1-19WINT-1111100,20190422,1
116-Weekday-1-19SPRI-1111100,20190429,1
116-Weekday-1-19SPRI-1111100,20190430,1
116-Weekday-1-19SPRI-1111100,20190501,1
116-Weekday-1-19SPRI-1111100,20190502,1
116-Weekday-1-19SPRI-1111100,20190503,1
116-Weekday-1-19SPRI-1111100,20190506,1
116-Weekday-1-19SPRI-1111100,20190507,1
116-Weekday-1-19SPRI-1111100,20190508,1
116-Weekday-1-19SPRI-1111100,20190509,1
116-Weekday-1-19SPRI-1111100,20190510,1
116-Weekday-1-19SPRI-1111100,20190513,1
116-Weekday-1-19SPRI-1111100,20190514,1
116-Weekday-1-19SPRI-1111100,20190515,1
116-Weekday-1-19SPRI-1111100,20190516,1
116-Weekday-1-19SPRI-1111100,20190517,1
116-Weekday-1-19SPRI-1111100,20190520,1
116-Weekday-1-19SPRI-1111100,20190521,1
116-Weekday-1-19SPRI-1111100,20190522,1
116-Weekday-1-19SPRI-1111100,20190523,1
116-Weekday-1-19SPRI-1111100,20190524,1
116-Weekday-1-19SPRI-1111100,20190527,1
116-Weekday-1-19SPRI-1111100,20190528,1
116-Weekday-1-19SPRI-1111100,20190529,1
116-Weekday-1-19SPRI-1111100,20190530,1
116-Weekday-1-19SPRI-1111100,20190531,1
116-Weekday-1-19SPRI-1111100,20190603,1
116-Weekday-1-19SPRI-1111100,20190604,1
116-Weekday-1-19SPRI-1111100,20190605,1
116-Weekday-1-19SPRI-1111100,20190606,1
116-Weekday-1-19SPRI-1111100,20190607,1
116-Weekday-1-19SPRI-1111100,20190610,1
116-Weekday-1-19SPRI-1111100,20190611,1
116-Weekday-1-19SPRI-1111100,20190612,1
116-Weekday-1-19SPRI-1111100,20190613,1
116-Weekday-1-19SPRI-1111100,20190614,1
116-Weekday-1-19SPRI-1111100,20190617,1
116-Weekday-1-19SPRI-1111100,20190618,1
116-Weekday-1-19SPRI-1111100,20190619,1
116-Weekday-1-19SPRI-1111100,20190620,1
116-Weekday-1-19SPRI-1111100,20190621,1
116-Weekday-1-19WINT-1111100,20190408,1
116-Weekday-1-19WINT-1111100,20190409,1
116-Weekday-1-19WINT-1111100,20190410,1
116-Weekday-1-19WINT-1111100,20190411,1
116-Weekday-1-19WINT-1111100,20190415,1
116-Weekday-1-19WINT-1111100,20190416,1
116-Weekday-1-19WINT-1111100,20190417,1
116-Weekday-1-19WINT-1111100,20190418,1
116-Weekday-1-19WINT-1111100,20190423,1
116-Weekday-1-19WINT-1111100,20190424,1
116-Weekday-1-19WINT-1111100,20190425,1
116-Weekday-1-19WINT-1111100,20190426,1
116-Weekday-1-19WINT-1111100,20190412,1
116-Weekday-1-19WINT-1111100,20190422,1
11-Saturday-1-19SPRI-0000010,20190504,1
11-Saturday-1-19SPRI-0000010,20190511,1
11-Saturday-1-19SPRI-0000010,20190518,1
11-Saturday-1-19SPRI-0000010,20190525,1
11-Saturday-1-19SPRI-0000010,20190601,1
11-Saturday-1-19SPRI-0000010,20190608,1
11-Saturday-1-19SPRI-0000010,20190615,1
11-Saturday-1-19SPRI-0000010,20190622,1
11-Saturday-1-19WINT-0000010,20190413,1
11-Saturday-1-19WINT-0000010,20190420,1
11-Saturday-1-19WINT-0000010,20190427,1
11-Sunday-1-19SPRI-0000001,20190505,1
11-Sunday-1-19SPRI-0000001,20190512,1
11-Sunday-1-19SPRI-0000001,20190519,1
11-Sunday-1-19SPRI-0000001,20190526,1
11-Sunday-1-19SPRI-0000001,20190602,1
11-Sunday-1-19SPRI-0000001,20190609,1
11-Sunday-1-19SPRI-0000001,20190616,1
11-Sunday-1-19SPRI-0000001,20190623,1
11-Sunday-1-19WINT-0000001,20190414,1
11-Sunday-1-19WINT-0000001,20190419,1
11-Sunday-1-19WINT-0000001,20190421,1
11-Sunday-1-19WINT-0000001,20190428,1
11-Weekday-2-19SPRI-1111100,20190429,1
11-Weekday-2-19SPRI-1111100,20190430,1
11-Weekday-2-19SPRI-1111100,20190501,1
11-Weekday-2-19SPRI-1111100,20190502,1
11-Weekday-2-19SPRI-1111100,20190503,1
11-Weekday-2-19SPRI-1111100,20190506,1
11-Weekday-2-19SPRI-1111100,20190507,1
11-Weekday-2-19SPRI-1111100,20190508,1
11-Weekday-2-19SPRI-1111100,20190509,1
11-Weekday-2-19SPRI-1111100,20190510,1
11-Weekday-2-19SPRI-1111100,20190513,1
11-Weekday-2-19SPRI-1111100,20190514,1
11-Weekday-2-19SPRI-1111100,20190515,1
11-Weekday-2-19SPRI-1111100,20190516,1
11-Weekday-2-19SPRI-1111100,20190517,1
11-Weekday-2-19SPRI-1111100,20190520,1
11-Weekday-2-19SPRI-1111100,20190521,1
11-Weekday-2-19SPRI-1111100,20190522,1
11-Weekday-2-19SPRI-1111100,20190523,1
11-Weekday-2-19SPRI-1111100,20190524,1
11-Weekday-2-19SPRI-1111100,20190527,1
11-Weekday-2-19SPRI-1111100,20190528,1
11-Weekday-2-19SPRI-1111100,20190529,1
11-Weekday-2-19SPRI-1111100,20190530,1
11-Weekday-2-19SPRI-1111100,20190531,1
11-Weekday-2-19SPRI-1111100,20190603,1
11-Weekday-2-19SPRI-1111100,20190604,1
11-Weekday-2-19SPRI-1111100,20190605,1
11-Weekday-2-19SPRI-1111100,20190606,1
11-Weekday-2-19SPRI-1111100,20190607,1
11-Weekday-2-19SPRI-1111100,20190610,1
11-Weekday-2-19SPRI-1111100,20190611,1
11-Weekday-2-19SPRI-1111100,20190612,1
11-Weekday-2-19SPRI-1111100,20190613,1
11-Weekday-2-19SPRI-1111100,20190614,1
11-Weekday-2-19SPRI-1111100,20190617,1
11-Weekday-2-19SPRI-1111100,20190618,1
11-Weekday-2-19SPRI-1111100,20190619,1
11-Weekday-2-19SPRI-1111100,20190620,1
11-Weekday-2-19SPRI-1111100,20190621,1
11-Weekday-2-19WINT-1111100,20190408,1
11-Weekday-2-19WINT-1111100,20190409,1
11-Weekday-2-19WINT-1111100,20190410,1
11-Weekday-2-19WINT-1111100,20190411,1
11-Weekday-2-19WINT-1111100,20190415,1
11-Weekday-2-19WINT-1111100,20190416,1
11-Weekday-2-19WINT-1111100,20190417,1
11-Weekday-2-19WINT-1111100,20190418,1
11-Weekday-2-19WINT-1111100,20190423,1
11-Weekday-2-19WINT-1111100,20190424,1
11-Weekday-2-19WINT-1111100,20190425,1
11-Weekday-2-19WINT-1111100,20190426,1
11-Weekday-2-19WINT-1111100,20190412,1
11-Weekday-2-19WINT-1111100,20190422,1
12-Saturday-1-19SPRI-0000010,20190504,1
12-Saturday-1-19SPRI-0000010,20190511,1
12-Saturday-1-19SPRI-0000010,20190518,1
12-Saturday-1-19SPRI-0000010,20190525,1
12-Saturday-1-19SPRI-0000010,20190601,1
12-Saturday-1-19SPRI-0000010,20190608,1
12-Saturday-1-19SPRI-0000010,20190615,1
12-Saturday-1-19SPRI-0000010,20190622,1
12-Saturday-1-19WINT-0000010,20190413,1
12-Saturday-1-19WINT-0000010,20190420,1
12-Saturday-1-19WINT-0000010,20190427,1
12-Sunday-1-19SPRI-0000001,20190505,1
12-Sunday-1-19SPRI-0000001,20190512,1
12-Sunday-1-19SPRI-0000001,20190519,1
12-Sunday-1-19SPRI-0000001,20190526,1
12-Sunday-1-19SPRI-0000001,20190602,1
12-Sunday-1-19SPRI-0000001,20190609,1
12-Sunday-1-19SPRI-0000001,20190616,1
12-Sunday-1-19SPRI-0000001,20190623,1
12-Sunday-1-19WINT-0000001,20190414,1
12-Sunday-1-19WINT-0000001,20190419,1
12-Sunday-1-19WINT-0000001,20190421,1
12-Sunday-1-19WINT-0000001,20190428,1
12-Weekday-1-19SPRI-1111100,20190429,1
12-Weekday-1-19SPRI-1111100,20190430,1
12-Weekday-1-19SPRI-1111100,20190501,1
12-Weekday-1-19SPRI-1111100,20190502,1
12-Weekday-1-19SPRI-1111100,20190503,1
12-Weekday-1-19SPRI-1111100,20190506,1
12-Weekday-1-19SPRI-1111100,20190507,1
12-Weekday-1-19SPRI-1111100,20190508,1
12-Weekday-1-19SPRI-1111100,20190509,1
12-Weekday-1-19SPRI-1111100,20190510,1
12-Weekday-1-19SPRI-1111100,20190513,1
12-Weekday-1-19SPRI-1111100,20190514,1
12-Weekday-1-19SPRI-1111100,20190515,1
12-Weekday-1-19SPRI-1111100,20190516,1
12-Weekday-1-19SPRI-1111100,20190517,1
12-Weekday-1-19SPRI-1111100,20190520,1
12-Weekday-1-19SPRI-1111100,20190521,1
12-Weekday-1-19SPRI-1111100,20190522,1
12-Weekday-1-19SPRI-1111100,20190523,1
12-Weekday-1-19SPRI-1111100,20190524,1
12-Weekday-1-19SPRI-1111100,20190527,1
12-Weekday-1-19SPRI-1111100,20190528,1
12-Weekday-1-19SPRI-1111100,20190529,1
12-Weekday-1-19SPRI-1111100,20190530,1
12-Weekday-1-19SPRI-1111100,20190531,1
12-Weekday-1-19SPRI-1111100,20190603,1
12-Weekday-1-19SPRI-1111100,20190604,1
12-Weekday-1-19SPRI-1111100,20190605,1
12-Weekday-1-19SPRI-1111100,20190606,1
12-Weekday-1-19SPRI-1111100,20190607,1
12-Weekday-1-19SPRI-1111100,20190610,1
12-Weekday-1-19SPRI-1111100,20190611,1
12-Weekday-1-19SPRI-1111100,20190612,1
12-Weekday-1-19SPRI-1111100,20190613,1
12-Weekday-1-19SPRI-1111100,20190614,1
12-Weekday-1-19SPRI-1111100,20190617,1
12-Weekday-1-19SPRI-1111100,20190618,1
12-Weekday-1-19SPRI-1111100,20190619,1
12-Weekday-1-19SPRI-1111100,20190620,1
12-Weekday-1-19SPRI-1111100,20190621,1
12-Weekday-1-19WINT-1111100,20190408,1
12-Weekday-1-19WINT-1111100,20190409,1
12-Weekday-1-19WINT-1111100,20190410,1
12-Weekday-1-19WINT-1111100,20190411,1
12-Weekday-1-19WINT-1111100,20190415,1
12-Weekday-1-19WINT-1111100,20190416,1
12-Weekday-1-19WINT-1111100,20190417,1
12-Weekday-1-19WINT-1111100,20190418,1
12-Weekday-1-19WINT-1111100,20190423,1
12-Weekday-1-19WINT-1111100,20190424,1
12-Weekday-1-19WINT-1111100,20190425,1
12-Weekday-1-19WINT-1111100,20190426,1
12-Weekday-3-19WINT-1111100,20190412,1
